Этап	Задача_бэклога	Пункт	Название	Статус	Полная_без_агента_чел_дни	Полная_с_агентом_чел_дни	Сделано_без_агента	Сделано_с_агентом	Остаток_без_агента	Остаток_с_агентом	Примечание
0.0	0.0.6	0.0.6.5	Накатить обновление на ПРОД	Done	3.0	2.5	3.0	2.5	0.0	0.0	
0.0	0.0.6	0.0.6.6	Подтвердить готовность сред	Done	1.0	1.0	1.0	1.0	0.0	0.0	
0.0	0.0.6	0.0.6.7	Черновики приложений отложенной митигации §2б	Done	2.0	1.0	2.0	1.0	0.0	0.0	D-SEC-TM/SOD/DATA-MIG/OBS/MET/PERF
0.1	0.1.1	0.1.1.1	Точка входа, layout, маршрутизация	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.1	0.1.1	0.1.1.2	Конфигурация (БД, логи, трассировка)	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.1	0.1.1	0.1.1.3	Локализация ru/en	Done	1.5	0.8	1.5	0.8	0.0	0.0	
0.1	0.1.1	0.1.1.4	Composition root: Platform + модули	Done	1.5	0.8	1.5	0.8	0.0	0.0	
0.1	0.1.2	0.1.2.1	Базовые страницы, меню, UI-компоненты	Done	3.0	1.5	3.0	1.5	0.0	0.0	
0.1	0.1.2	0.1.2.2	Обработка ошибок	Done	1.5	0.8	1.5	0.8	0.0	0.0	
0.1	0.1.2	0.1.2.3	Инфраструктура доступа к БД	Done	2.5	1.2	2.5	1.2	0.0	0.0	
0.1	0.1.2	0.1.2.4	Каркас unit и integration тестов	Done	3.0	1.5	3.0	1.5	0.0	0.0	
0.1	0.1.3	0.1.3.1	Фреймворк гридов (фильтры, сортировка, пагинация)	Done	8.0	4.0	8.0	4.0	0.0	0.0	
0.1	0.1.3	0.1.3.2	Фреймворк карточки записи	Done	4.0	2.0	4.0	2.0	0.0	0.0	
0.1	0.1.3	0.1.3.3	Фреймворк БД (FTS, чтение грида/карточки)	Done	5.0	2.5	5.0	2.5	0.0	0.0	
0.1	0.1.4	0.1.4.1	Процесс деплоя на ДЕВ	Done	3.0	2.0	3.0	2.0	0.0	0.0	
0.1	0.1.4	0.1.4.2	Процесс деплоя на ТЕСТ	Done	2.0	1.5	2.0	1.5	0.0	0.0	
0.1	0.1.4	0.1.4.3	Процесс деплоя на Prod	Done	4.0	3.0	4.0	3.0	0.0	0.0	
0.1	0.1.4	0.1.4.4	Smoke-проверки после выкладки	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.1	0.1.4	0.1.4.5	Автоматизировать CI/CD через GitLab	Todo	5.0	3.0	0.0	0.0	5.0	3.0	
0.1	0.1.4	0.1.4.6	SCA зависимостей в CI (GitLab/Sonar)	Todo	3.0	2.0	0.0	0.0	3.0	2.0	D-SEC-SCA
0.1	0.1.4	0.1.4.7	IIS URL Rewrite легаси ↔ новый UI	Todo	3.0	2.0	0.0	0.0	3.0	2.0	нужен к первому Gate B
0.1	0.1.5	0.1.5.1	Собрать требования к RO-фреймворку	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.1	0.1.5	0.1.5.2	Исследовательские работы	Done	4.0	2.5	4.0	2.5	0.0	0.0	
0.1	0.1.5	0.1.5.3	Прототип (PoC)	Done	6.0	3.5	6.0	3.5	0.0	0.0	
0.1	0.1.5	0.1.5.4	SQL-шаблон: таблицы, партиции, FTS, заливка	Done	4.0	2.0	4.0	2.0	0.0	0.0	
0.1	0.1.5	0.1.5.5	Процедуры чтения грида и карточки	Done	2.5	1.2	2.5	1.2	0.0	0.0	
0.1	0.1.5	0.1.5.6	C#-шаблон модуля (грид, деталь, ресурсы, меню)	Done	4.0	2.0	4.0	2.0	0.0	0.0	
0.1	0.1.5	0.1.5.7	Интеграционные и юнит-тесты шаблона	Done	2.5	1.2	2.5	1.2	0.0	0.0	
0.1	0.1.5	0.1.5.8	Внутреннее ручное тестирование шаблона	Done	1.5	1.0	1.5	1.0	0.0	0.0	
0.1	0.1.5	0.1.5.9	Краткий отчёт (видимые поля)	Done	1.5	0.8	1.5	0.8	0.0	0.0	
0.1	0.1.5	0.1.5.10	Полный отчёт (полный набор полей)	Done	1.5	0.8	1.5	0.8	0.0	0.0	
0.1	0.1.5	0.1.5.11	Подтверждение больших выгрузок, таймауты	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.1	0.1.5	0.1.5.12	Внутреннее ручное тестирование отчётов	Done	1.0	0.8	1.0	0.8	0.0	0.0	
0.1	0.1.5	0.1.5.13	Передать экспертные знания навыку агента (RO)	Done	0.0	2.5	0.0	2.5	0.0	0.0	только «с агентом»
0.1	0.1.5	0.1.5.14	Конфигурация skills/commands для RO-справочника	Done	0.0	2.5	0.0	2.5	0.0	0.0	add-reference-book
0.1	0.1.6	0.1.6.1	Собрать требования по пилоту «Ставки»	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.1	0.1.6	0.1.6.2	Полный цикл RO «Ставки» (вкл. отчёты) с AI	Done	12.0	5.0	12.0	5.0	0.0	0.0	самый сложный RO
0.1	0.1.6	0.1.6.3	Исправить ошибки фреймворка	Done	5.0	3.0	5.0	3.0	0.0	0.0	
0.1	0.1.6	0.1.6.4	Нестандартный функционал «Ставки»	Done	4.0	2.5	4.0	2.5	0.0	0.0	
0.1	0.1.6	0.1.6.5	Внутреннее тестирование	Done	2.0	1.5	2.0	1.5	0.0	0.0	
0.1	0.1.6	0.1.6.6	UAT пилота «Ставки» RO	Done	2.0	2.0	2.0	2.0	0.0	0.0	
0.1	0.1.7	0.1.7.1	Собрать требования к синхронизации	Done	2.0	1.0	2.0	1.0	0.0	0.0	
0.1	0.1.7	0.1.7.2	Спроектировать механизм синхронизации	Done	4.0	2.5	4.0	2.5	0.0	0.0	
0.1	0.1.7	0.1.7.3	Написать код фреймворка синхронизации	Done	12.0	6.0	12.0	6.0	0.0	0.0	SnapshotSync* + v2.Sync_*
0.1	0.1.7	0.1.7.4	Внутреннее тестирование фреймворка sync	Done	3.0	2.0	3.0	2.0	0.0	0.0	
0.1	0.1.7	0.1.7.5	Оперативный выключатель V2SyncEnabled	Done	1.5	1.0	1.5	1.0	0.0	0.0	
0.1	0.1.7	0.1.7.6	Алерты отставания курсора	Todo	2.0	1.5	0.0	0.0	2.0	1.5	D-OPS
0.1	0.1.7	0.1.7.7	Алерт на отказ цикла сверки удалений	Todo	1.0	0.8	0.0	0.0	1.0	0.8	
0.1	0.1.7	0.1.7.8	Подключить алерты к техподдержке	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.1	0.1.7	0.1.7.9	Автосверка по кодам (письмо в поддержку)	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.1	0.1.7	0.1.7.10	Reconciliation только IsArchive=1	Todo	1.5	1.0	0.0	0.0	1.5	1.0	
0.1	0.1.7	0.1.7.11	Оценка ёмкости Blazor Server и алерты	Done	3.0	2.0	3.0	2.0	0.0	0.0	факт MVP 0.1: 100 сессий
0.1	0.1.7	0.1.7.12	Конфигурация retention policy (без purge)	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.1	0.1.8	0.1.8.1	Требования для переноса «Ставки» (sync)	Done	1.0	0.5	1.0	0.5	0.0	0.0	
0.1	0.1.8	0.1.8.2	Подключить «Ставки» к sync с AI	Done	3.0	1.5	3.0	1.5	0.0	0.0	
0.1	0.1.8	0.1.8.3	Права только на чтение (Windows Auth + dbo.Role)	Done	1.5	1.0	1.5	1.0	0.0	0.0	
0.1	0.1.8	0.1.8.4	Протестировать синхронизацию	Done	2.0	1.5	2.0	1.5	0.0	0.0	
0.1	0.1.8	0.1.8.5	Исправить дефекты фреймворка sync	Done	3.0	2.0	3.0	2.0	0.0	0.0	
0.1	0.1.8	0.1.8.6	Внутреннее тестирование	Done	2.0	1.5	2.0	1.5	0.0	0.0	
0.1	0.1.8	0.1.8.7	UAT sync «Ставки»	Done	2.0	2.0	2.0	2.0	0.0	0.0	
0.1	0.1.8	0.1.8.8	Релиз на прод + dual-run	Done	4.0	3.5	4.0	3.5	0.0	0.0	5 пилотов на проде
0.2	0.2.1	0.2.1.1	Анализ логов легаси (профиль нагрузки)	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.2	0.2.1	0.2.1.2	Тестовый объём ~10 млн	Todo	5.0	3.0	0.0	0.0	5.0	3.0	
0.2	0.2.1	0.2.1.3	Сценарий: конкурентное чтение	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.2	0.2.1	0.2.1.4	Сценарий: холостой sync	Todo	1.5	1.0	0.0	0.0	1.5	1.0	
0.2	0.2.1	0.2.1.5	Сценарий: единичное изменение → snapshot	Todo	1.0	0.8	0.0	0.0	1.0	0.8	
0.2	0.2.1	0.2.1.6	Сценарий: batch 30 тыс.	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.2	0.2.1	0.2.1.7	Сценарий: массовое изменение 100К	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.2	0.2.1	0.2.1.8	Сценарий: fan-out родителя	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.2	0.2.1	0.2.1.9	Сценарий: reconciliation IsArchive=1	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.2	0.2.1	0.2.1.10	Комбо: пик чтения + изменение + sync	Todo	4.0	2.5	0.0	0.0	4.0	2.5	блокер тиража D-PERF
0.2	0.2.1	0.2.1.11	Сценарии 2–6 с sync on/off	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.2	0.2.1	0.2.1.12	Метрики CPU/IO/log/tempdb	Todo	1.5	1.0	0.0	0.0	1.5	1.0	
0.2	0.2.1	0.2.1.13	Отказ под нагрузкой	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.2	0.2.1	0.2.1.14	Сверка с критериями приёмки + протокол	Todo	1.5	1.0	0.0	0.0	1.5	1.0	
0.2	0.2.1	0.2.1.15	Часовой бэкап vs суточный при 10 млн	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.2	0.2.2	0.2.2.1	Реестр переносимых справочников по группам	Done	2.0	1.0	2.0	1.0	0.0	0.0	catalogs-scope.md
0.2	0.2.2	0.2.2.2	Проверить объём 38 вне скоупа vs лимит Excel	Todo	1.0	0.5	0.0	0.0	1.0	0.5	
0.2	0.2.2	0.2.2.3	Составить требования к переносу	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
0.2	0.2.2	0.2.2.4	Реализовать меню по catalogs-scope	Partial	2.0	1.0	0.8	0.4	1.2	0.6	меню для 5 модулей есть
0.2	0.2.2	0.2.2.5	Инвентаризация SQL Agent job'ов жёсткого удаления	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.2	0.2.2	0.2.2.6	Dependency-тест границ модулей в CI	Todo	2.0	1.0	0.0	0.0	2.0	1.0	D-ARCH
0.2	0.2.2	0.2.2.7	Письменное подтверждение ИБ по read-only	Todo	1.0	1.0	0.0	0.0	1.0	1.0	D-SEC-RO; блокирует тираж
0.2	0.2.3	0.2.3.1	Перенести группу «Ставки» (20; RO на проде 3, остаток 17)	Partial	86.0	25.5	13.0	4.0	73.0	21.5	сделано: Rates (0.1), AverageRateLevel3, ParityRates
0.2	0.2.3	0.2.3.2	Перенести группу «Маршруты» (12; RO на проде 2, остаток 10)	Partial	54.0	16.0	13.0	4.0	41.0	12.0	сделано: TransportLegs, LocationsNodes
0.2	0.2.3	0.2.3.3	Перенести группу «Продукты» (6)	Todo	22.5	6.5	0.0	0.0	22.5	6.5	
0.2	0.2.3	0.2.3.4	Перенести группу «Склады и ограничения» (8)	Todo	32.5	9.5	0.0	0.0	32.5	9.5	
0.2	0.2.3	0.2.3.5	Перенести группу «Матрица каналов» (8)	Todo	32.5	9.5	0.0	0.0	32.5	9.5	
0.2	0.2.3	0.2.3.6	Перенести группу «Интеграция с ЦБД» (4)	Todo	18.5	5.5	0.0	0.0	18.5	5.5	
0.2	0.2.3	0.2.3.7	Перенести Вспомогательные (5)	Todo	19.0	5.5	0.0	0.0	19.0	5.5	
0.2	0.2.3	0.2.3.8	Доработка фреймворка/skill по ходу тиража RO	Partial	15.0	12.0	4.0	5.0	11.0	7.0	без агента: framework; с агентом: +эволюция skill
0.2	0.2.4	0.2.4.1	Сверка новых справочников с легаси	Todo	10.0	6.0	0.0	0.0	10.0	6.0	
0.2	0.2.4	0.2.4.2	Доработка по результатам сверки	Todo	12.0	7.0	0.0	0.0	12.0	7.0	
0.2	0.2.4	0.2.4.3	Нагрузочное тестирование	Todo	8.0	5.0	0.0	0.0	8.0	5.0	
0.2	0.2.4	0.2.4.4	Внутреннее функциональное тестирование	Todo	8.0	5.0	0.0	0.0	8.0	5.0	
0.2	0.2.4	0.2.4.5	Исправление дефектов	Todo	10.0	6.0	0.0	0.0	10.0	6.0	
0.2	0.2.4	0.2.4.6	UAT	Todo	6.0	5.0	0.0	0.0	6.0	5.0	
0.2	0.2.4	0.2.4.7	Релиз на продуктив	Todo	4.0	3.5	0.0	0.0	4.0	3.5	
0.2	0.2.4	0.2.4.8	Подключить автосверку и алерты для перенесённых	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.3	0.3.1	0.3.1.1	Требования к модулю отчётов и ~10 отчётам	Todo	5.0	3.0	0.0	0.0	5.0	3.0	
0.3	0.3.1	0.3.1.2	Каркас модуля отчётов	Todo	4.0	2.0	0.0	0.0	4.0	2.0	
0.3	0.3.1	0.3.1.3	Пилотный отчёт вне справочников	Todo	5.0	2.5	0.0	0.0	5.0	2.5	
0.3	0.3.1	0.3.1.4	Тираж отчётов (~10)	Todo	40.0	16.0	0.0	0.0	40.0	16.0	9× после пилота
0.3	0.3.1	0.3.1.5	Отчёт ReportConstructor (Excel из архива ставок)	Todo	8.0	4.0	0.0	0.0	8.0	4.0	не дашборд
0.3	0.3.1	0.3.1.6	Внутреннее тестирование	Todo	4.0	2.5	0.0	0.0	4.0	2.5	
0.3	0.3.1	0.3.1.7	UAT	Todo	3.0	2.5	0.0	0.0	3.0	2.5	
0.3	0.3.1	0.3.1.8	Read отчётов по любой роли dbo.Role до 0.4	Todo	0.5	0.5	0.0	0.0	0.5	0.5	
0.4	0.4.1	0.4.1.1	Инвентаризировать легаси-модель ролей	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.4	0.4.1	0.4.1.2	Спроектировать доменную ролевую модель	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.4	0.4.1	0.4.1.3	Перенести ограничения легаси (интеграционные/служебные)	Todo	1.5	1.0	0.0	0.0	1.5	1.0	
0.4	0.4.1	0.4.1.4	Зафиксировать: Инициатор/Читатель — UX отчёта, не ИБ	Todo	0.5	0.5	0.0	0.0	0.5	0.5	
0.4	0.4.1	0.4.1.5	Согласовать доменную модель с ИБ	Todo	3.0	2.5	0.0	0.0	3.0	2.5	блокирует старт 0.5
0.4	0.4.1	0.4.1.6	Хранение ролей, проверки, маппинг AD	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
0.4	0.4.1	0.4.1.7	Админка ролевой модели	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
0.4	0.4.1	0.4.1.8	Проверки прав в меню/гриде/карточке/отчётах	Todo	6.0	3.0	0.0	0.0	6.0	3.0	
0.4	0.4.1	0.4.1.9	Логирование действий пользователей	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
0.4	0.4.1	0.4.1.10	Миграция с бинарного read на доменную write-модель	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.4	0.4.1	0.4.1.11	Внутреннее тестирование	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.4	0.4.1	0.4.1.12	UAT	Todo	2.0	2.0	0.0	0.0	2.0	2.0	
0.5	0.5.1	0.5.1.1	Анализ и постановка CQRS write-ядра	Todo	4.0	2.5	0.0	0.0	4.0	2.5	
0.5	0.5.1	0.5.1.2	Пайплайн authorize→validate→domain→persist	Todo	12.0	6.0	0.0	0.0	12.0	6.0	
0.5	0.5.1	0.5.1.3	Идемпотентность, LWW, транзакционность	Todo	5.0	3.0	0.0	0.0	5.0	3.0	
0.5	0.5.1	0.5.1.4	Точка расширения аудита (без записи до 1.0)	Todo	1.5	1.0	0.0	0.0	1.5	1.0	
0.5	0.5.1	0.5.1.5	Доменный write-toggle V2WriteEnabled_{Домен}	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
0.5	0.5.1	0.5.1.6	Внутреннее тестирование write-ядра	Todo	4.0	2.5	0.0	0.0	4.0	2.5	
0.5	0.5.2	0.5.2.1	Модуль расчёта (перенос из БД в C#)	Todo	10.0	5.0	0.0	0.0	10.0	5.0	
0.5	0.5.2	0.5.2.2	Внутреннее тестирование модуля расчёта	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.5	0.5.3	0.5.3.1	Шаг persist: write-through в легаси-таблицы	Todo	10.0	5.0	0.0	0.0	10.0	5.0	
0.5	0.5.3	0.5.3.2	Внутреннее тестирование persist	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.5	0.5.4	0.5.4.1	Модалка выбора элемента дочернего справочника	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
0.5	0.5.4	0.5.4.2	Адаптация UI-компонентов редактирования	Todo	5.0	2.5	0.0	0.0	5.0	2.5	
0.5	0.5.4	0.5.4.3	Операции Создать/Редактировать/Архивировать	Todo	4.0	2.0	0.0	0.0	4.0	2.0	
0.5	0.5.4	0.5.4.4	Валидация вводимых данных в UI	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
0.5	0.5.4	0.5.4.5	Проверка прав в редакторе	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.5	0.5.4	0.5.4.6	Трассировка и логирование операций	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.5	0.5.4	0.5.4.7	Вызов точки расширения аудита	Todo	1.0	0.5	0.0	0.0	1.0	0.5	
0.5	0.5.4	0.5.4.8	Внутреннее тестирование UI-редактора	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.5	0.5.5	0.5.5.1	Экспертные знания навыку агента (редактор)	Todo	0.0	3.0	0.0	0.0	0.0	3.0	только «с агентом»
0.5	0.5.5	0.5.5.2	Конфигурация skills/commands для редактора	Todo	0.0	3.0	0.0	0.0	0.0	3.0	
0.5	0.5.6	0.5.6.1	Опционально: при Save триггерить воркер sync	Todo	2.0	1.0	0.0	0.0	2.0	1.0	по обратной связи
0.5	0.5.7	0.5.7.1	Сбор требований пилота «Транспортные плечи»	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.5	0.5.7	0.5.7.2	Валидация плеч (перенос из легаси)	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
0.5	0.5.7	0.5.7.3	Обработка/расчёт при сохранении	Todo	5.0	2.5	0.0	0.0	5.0	2.5	
0.5	0.5.7	0.5.7.4	Полный цикл редактора по фреймворку + AI	Todo	6.0	2.5	0.0	0.0	6.0	2.5	
0.5	0.5.7	0.5.7.5	Write-through плеч в легаси	Todo	4.0	2.0	0.0	0.0	4.0	2.0	
0.5	0.5.7	0.5.7.6	Исправление ошибок фреймворка	Todo	5.0	3.0	0.0	0.0	5.0	3.0	
0.5	0.5.7	0.5.7.7	Нестандартный функционал	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.5	0.5.7	0.5.7.8	Внутреннее тестирование	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.5	0.5.7	0.5.7.9	UAT	Todo	2.0	2.0	0.0	0.0	2.0	2.0	
0.5	0.5.7	0.5.7.10	Релиз на продуктив	Todo	3.0	2.5	0.0	0.0	3.0	2.5	
0.5	0.5.7	0.5.7.11	Критерии exit dual-run для пилота	Todo	1.0	0.8	0.0	0.0	1.0	0.8	
0.5	0.5.7	0.5.7.12	Замер факт 2 модели + факт (калибровка)	Todo	0.5	0.5	0.0	0.0	0.5	0.5	
0.5	0.5.7	0.5.7.13	Стабилизационное окно ≥2 нед. (critical до 0.6)	Todo	3.0	2.0	0.0	0.0	3.0	2.0	трудоёмкость багфиксов, не календарь
0.5	0.5.8	0.5.8.1	Пентест контура записи (до первого Gate B)	Todo	8.0	6.0	0.0	0.0	8.0	6.0	D-SEC-PT; часть работ внешняя
0.6	0.6.1	0.6.1.1	Анализ и постановка требований загрузчика	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
0.6	0.6.1	0.6.1.2	Прототипирование	Partial	5.0	2.5	1.5	0.75	3.5	1.75	зачаток Import/, staging stub
0.6	0.6.2	0.6.2.1	Страница/компоненты Excel-загрузчика	Partial	4.0	2.0	1.0	0.5	3.0	1.5	
0.6	0.6.2	0.6.2.2	Парсинг Excel → DTO	Partial	3.0	1.5	1.2	0.6	1.8	0.9	
0.6	0.6.2	0.6.2.3	Прогресс, ошибки парсинга/валидации/загрузки	Partial	3.0	1.5	0.9	0.45	2.1	1.05	
0.6	0.6.2	0.6.2.4	Партиальный успех батча (валидные / отчёт ошибок)	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.6	0.6.2	0.6.2.5	Стейджинг и UI просмотра	Todo	4.0	2.0	0.0	0.0	4.0	2.0	
0.6	0.6.2	0.6.2.6	Внутреннее тестирование UI загрузки	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.6	0.6.2	0.6.2.7	Защита Excel: content-type, zip-bomb	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.6	0.6.3	0.6.3.1	Переиспользование валидаций/команд редактора	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
0.6	0.6.3	0.6.3.2	Оркестрация пайплайна загрузки (write-through)	Todo	6.0	3.0	0.0	0.0	6.0	3.0	
0.6	0.6.3	0.6.3.3	Проверка прав в загрузчике	Todo	1.5	0.8	0.0	0.0	1.5	0.8	
0.6	0.6.3	0.6.3.4	Трассировка и логирование	Todo	1.5	0.8	0.0	0.0	1.5	0.8	
0.6	0.6.3	0.6.3.5	Вызов точки расширения аудита	Todo	1.0	0.5	0.0	0.0	1.0	0.5	
0.6	0.6.3	0.6.3.6	Внутреннее тестирование оркестрации	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.6	0.6.4	0.6.4.1	Экспертные знания навыку агента (загрузчик)	Todo	0.0	2.5	0.0	0.0	0.0	2.5	
0.6	0.6.4	0.6.4.2	Конфигурация skills/commands для загрузчика	Todo	0.0	2.5	0.0	0.0	0.0	2.5	
0.6	0.6.5	0.6.5.1	Сбор требований пилота загрузчика плеч	Todo	1.5	0.8	0.0	0.0	1.5	0.8	
0.6	0.6.5	0.6.5.2	Валидация (reuse из редактора)	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.6	0.6.5	0.6.5.3	Обработка/расчёт при загрузке	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.6	0.6.5	0.6.5.4	Полный цикл загрузчика по фреймворку + AI	Todo	4.0	1.5	0.0	0.0	4.0	1.5	
0.6	0.6.5	0.6.5.5	Write-through транспортных плеч	Todo	2.0	1.0	0.0	0.0	2.0	1.0	
0.6	0.6.5	0.6.5.6	Исправление ошибок фреймворка	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
0.6	0.6.5	0.6.5.7	Нестандартный функционал загрузчика	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
0.6	0.6.5	0.6.5.8	Внутреннее тестирование	Todo	2.5	1.5	0.0	0.0	2.5	1.5	
0.6	0.6.5	0.6.5.9	UAT	Todo	2.0	2.0	0.0	0.0	2.0	2.0	
0.6	0.6.5	0.6.5.10	Релиз на продуктив	Todo	3.0	2.5	0.0	0.0	3.0	2.5	
0.6	0.6.5	0.6.5.11	Замер факт 2 модели + факт (калибровка)	Todo	0.5	0.5	0.0	0.0	0.5	0.5	
0.7	0.7.1	0.7.1.1	Список редакторов/загрузчиков по доменам	Done	1.5	0.8	1.5	0.8	0.0	0.0	catalogs-scope.md
0.7	0.7.1	0.7.1.2	Требования к полям/компонентам по доменам	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
0.7	0.7.2	0.7.2.1	Домен «Ставки»: 10 редакторов, 7 загрузчиков	Todo	98.0	36.8	0.0	0.0	98.0	36.8	RO-заявки не входят; Rates = complex
0.7	0.7.2	0.7.2.2	Пересчёт AverageRateLevel3 в C# (CRUD нет)	Todo	10.0	5.0	0.0	0.0	10.0	5.0	волна записи Ставок
0.7	0.7.2	0.7.2.3	Домен «Маршруты»: 8 редакторов/загрузчиков после пилота	Todo	88.5	33.6	0.0	0.0	88.5	33.6	скоуп домена 9; −TransportLegs (0.5/0.6)
0.7	0.7.2	0.7.2.4	Домен «Продукты»: 4 редактора+загрузчика	Todo	34.0	11.2	0.0	0.0	34.0	11.2	
0.7	0.7.2	0.7.2.5	Домен «Склады и ограничения»: 5 редакторов+загрузчиков	Todo	42.5	14.0	0.0	0.0	42.5	14.0	
0.7	0.7.2	0.7.2.6	Домен «Матрица каналов»: 8 редакторов+загрузчиков	Todo	68.0	22.4	0.0	0.0	68.0	22.4	
